epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
27,9802.1,1.34363,0.95601,0.01067,0.0457,0.72699,0.56792,0.60462,0.45188,1.16584,1.23522,0.01723,0.03122,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,10141.4,1.31784,0.94157,0.0107,0.04478,0.72542,0.57002,0.60377,0.45028,1.16283,1.24874,0.01757,0.033,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,10483.6,1.32212,0.94845,0.01103,0.04405,0.76545,0.58147,0.62158,0.46375,1.14711,1.24211,0.01771,0.03175,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,10836.6,1.31675,0.93347,0.01068,0.04398,0.73968,0.61646,0.62684,0.46754,1.15007,1.2155,0.01779,0.03022,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,11179.4,1.32732,0.92664,0.01085,0.04517,0.75782,0.59267,0.61436,0.46139,1.1515,1.22579,0.01773,0.03044,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,11526.1,1.31071,0.91623,0.01061,0.04425,0.65374,0.62049,0.62446,0.47117,1.1497,1.22691,0.01798,0.03064,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,11871.4,1.30721,0.89898,0.01083,0.04403,0.7483,0.59965,0.63177,0.47674,1.1511,1.22571,0.01797,0.03089,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,12216.3,1.32528,0.92554,0.01058,0.04361,0.73846,0.59985,0.62732,0.475,1.14573,1.22251,0.01758,0.02989,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,12558.9,1.30077,0.9111,0.01101,0.04305,0.71849,0.58732,0.62672,0.47293,1.13933,1.21546,0.01783,0.02991,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,13204.8,1.29832,0.90287,0.01063,0.04284,0.73172,0.59295,0.63402,0.48112,1.13687,1.21466,0.01781,0.03046,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,13548.1,1.3108,0.90264,0.01079,0.0437,0.74534,0.58768,0.64176,0.48488,1.13662,1.20136,0.01776,0.02971,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,13885.7,1.29176,0.90481,0.01073,0.04294,0.74267,0.59638,0.64376,0.49099,1.13743,1.20745,0.01781,0.02968,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,14233.7,1.31839,0.91512,0.01114,0.04335,0.76298,0.61002,0.665,0.50086,1.13369,1.21109,0.01793,0.02985,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,14579.1,1.31764,0.90709,0.01079,0.0442,0.7238,0.62346,0.64806,0.48572,1.13541,1.20991,0.01788,0.02923,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,14936.3,1.31444,0.91282,0.01072,0.04377,0.73721,0.61576,0.65713,0.49451,1.13095,1.2051,0.01776,0.02901,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,15282.4,1.28612,0.87946,0.01086,0.04284,0.76623,0.5944,0.64942,0.49104,1.12487,1.21396,0.01782,0.02846,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,15637.9,1.29863,0.86708,0.01035,0.04293,0.77557,0.60367,0.66642,0.50342,1.1244,1.21069,0.01758,0.02805,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,15978.4,1.30777,0.88985,0.01073,0.04361,0.7567,0.61452,0.66576,0.49865,1.125,1.20946,0.01767,0.02811,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,16318.6,1.29429,0.88495,0.01081,0.04308,0.76058,0.61496,0.66609,0.49907,1.12096,1.21253,0.01765,0.02787,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
