epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
110,38852.2,1.12803,0.66991,0.01059,0.03187,0.78486,0.61126,0.64668,0.50241,1.09887,1.2225,0.0179,0.02544,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,39194.9,1.11869,0.65396,0.01057,0.03132,0.78288,0.60945,0.64625,0.50264,1.09861,1.22328,0.01791,0.0254,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,39537.3,1.12355,0.65372,0.01044,0.0319,0.7845,0.61022,0.64337,0.50018,1.09828,1.2238,0.01791,0.02529,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,39883.2,1.12431,0.65131,0.01068,0.03198,0.78068,0.61263,0.64276,0.49969,1.09831,1.22417,0.01791,0.02517,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,40228.7,1.116,0.64969,0.01056,0.03128,0.78274,0.61272,0.64248,0.49962,1.09832,1.22495,0.01792,0.02518,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,40578.3,1.12387,0.65752,0.01066,0.03198,0.78673,0.61216,0.64209,0.49918,1.09852,1.22562,0.01792,0.02512,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,40912.9,1.10703,0.65525,0.01078,0.03114,0.78448,0.61418,0.64224,0.49925,1.09811,1.22759,0.01791,0.02515,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,41243.4,1.11829,0.64291,0.01028,0.03058,0.78579,0.61542,0.64162,0.49923,1.098,1.22869,0.01791,0.02512,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,41566,1.09674,0.64342,0.01071,0.03095,0.78251,0.61578,0.64088,0.49894,1.09804,1.23008,0.01792,0.02522,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,41890.4,1.09394,0.62849,0.01066,0.03003,0.7264,0.6158,0.64048,0.4988,1.09766,1.23099,0.01792,0.02525,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,42240.3,1.10098,0.63468,0.0107,0.03081,0.7274,0.61581,0.64045,0.49851,1.09777,1.23213,0.01792,0.02533,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,42582.5,1.09602,0.62613,0.01074,0.03002,0.72894,0.61531,0.64,0.49823,1.09823,1.23219,0.01792,0.0253,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,42930.1,1.08128,0.62627,0.01074,0.02953,0.72646,0.61542,0.63986,0.49809,1.09794,1.23321,0.01792,0.02526,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,43287.7,1.10593,0.63632,0.01061,0.03066,0.72672,0.61593,0.63906,0.49796,1.09828,1.2339,0.01792,0.02532,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,43626,1.08993,0.62533,0.01037,0.02971,0.72287,0.61619,0.63884,0.49777,1.0983,1.2353,0.01792,0.02535,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,43968.4,1.10195,0.62783,0.01062,0.03061,0.71676,0.61666,0.63813,0.49741,1.09846,1.23547,0.01791,0.02544,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
126,44299.4,1.07155,0.62135,0.01076,0.0294,0.71159,0.61807,0.63855,0.49738,1.09871,1.23642,0.01791,0.02535,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174,0.00228952,0.000763174
127,44639.6,1.07906,0.61294,0.01039,0.02915,0.70321,0.62021,0.63787,0.49713,1.09904,1.23622,0.01791,0.02529,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
128,44979.8,1.08962,0.61949,0.01054,0.03033,0.70318,0.62041,0.6378,0.4972,1.09892,1.23751,0.01791,0.02522,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292,0.00198988,0.000663292
129,45323.3,1.08433,0.61634,0.01046,0.02961,0.70266,0.62101,0.63798,0.49713,1.09933,1.23791,0.01795,0.02515,0.00184868,0.000616227,0.00184868,0.000616227,0.00184868,0.000616227,0.00184868,0.000616227
130,45662.2,1.06876,0.60585,0.01047,0.02857,0.71599,0.61861,0.63727,0.49691,1.09946,1.23869,0.01794,0.02518,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
131,46068.5,1.07232,0.60385,0.01048,0.0293,0.71838,0.6179,0.63635,0.4964,1.09925,1.24079,0.01796,0.02512,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795,0.00158385,0.00052795
132,46424.9,1.078,0.60633,0.01037,0.02978,0.71988,0.61751,0.63585,0.49606,1.0997,1.24107,0.01796,0.02515,0.00146033,0.000486777,0.00146033,0.000486777,0.00146033,0.000486777,0.00146033,0.000486777
133,46768.2,1.08285,0.61312,0.0104,0.03017,0.71729,0.61795,0.63549,0.49593,1.09986,1.24198,0.01795,0.02508,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
134,47109.9,1.07956,0.61075,0.01054,0.02914,0.7215,0.61677,0.6352,0.49572,1.09949,1.24264,0.01795,0.02527,0.00123136,0.000410454,0.00123136,0.000410454,0.00123136,0.000410454,0.00123136,0.000410454
